Index,TIMESTAMP,BID_PRICE,BID_SIZE,ASK_PRICE,ASK_SIZE
9894,2014-01-02 03:19:45.778072,231.73,3.0,231.77,3.0
9895,2014-01-02 03:19:46.278863,231.71,5.0,231.76,4.0
9896,2014-01-02 03:19:46.778854,231.71,5.0,231.76,8.0
9897,2014-01-02 03:19:48.778861,231.71,2.0,231.76,8.0
9898,2014-01-02 03:19:50.279144,231.72,1.0,231.76,8.0
9899,2014-01-02 03:19:53.279703,231.72,1.0,231.76,6.0
9900,2014-01-02 03:19:57.281361,231.71,4.0,231.75,3.0
9901,2014-01-02 03:19:57.780834,231.71,4.0,231.74,1.0
9902,2014-01-02 03:19:58.281508,231.69,1.0,231.73,2.0
9903,2014-01-02 03:19:59.281335,231.69,1.0,231.73,3.0
9904,2014-01-02 03:19:59.781022,231.69,1.0,231.72,1.0
9905,2014-01-02 03:20:00.281729,231.68,2.0,231.71,1.0
9906,2014-01-02 03:20:00.781747,231.68,1.0,231.71,2.0
9907,2014-01-02 03:20:01.281842,231.67,5.0,231.71,2.0
9908,2014-01-02 03:20:01.782331,231.67,4.0,231.71,7.0
9909,2014-01-02 03:20:02.282211,231.67,4.0,231.7,3.0
9910,2014-01-02 03:20:02.782474,231.67,4.0,231.7,4.0
9911,2014-01-02 03:20:03.282379,231.67,5.0,231.7,4.0
9912,2014-01-02 03:20:03.786083,231.67,5.0,231.7,8.0
9913,2014-01-02 03:20:04.282500,231.67,5.0,231.7,7.0
9914,2014-01-02 03:20:05.282963,231.67,4.0,231.7,7.0
9915,2014-01-02 03:20:06.282868,231.67,3.0,231.7,7.0
9916,2014-01-02 03:20:06.783498,231.65,1.0,231.68,1.0
9917,2014-01-02 03:20:07.284282,231.64,3.0,231.68,2.0
9918,2014-01-02 03:20:07.784113,231.62,4.0,231.67,1.0
9919,2014-01-02 03:20:08.284396,231.63,2.0,231.68,7.0
9920,2014-01-02 03:20:08.784558,231.61,3.0,231.65,4.0
9921,2014-01-02 03:20:09.784711,231.61,4.0,231.65,5.0
9922,2014-01-02 03:20:10.285221,231.6,1.0,231.64,2.0
9923,2014-01-02 03:20:10.785455,231.6,1.0,231.64,3.0
9924,2014-01-02 03:20:11.285485,231.6,2.0,231.64,2.0
9925,2014-01-02 03:20:11.785469,231.6,2.0,231.63,4.0
9926,2014-01-02 03:20:13.286325,231.6,1.0,231.63,4.0
9927,2014-01-02 03:20:13.786871,231.56,2.0,231.6,1.0
9928,2014-01-02 03:20:14.286904,231.55,1.0,231.6,4.0
9929,2014-01-02 03:20:14.786913,231.56,1.0,231.6,1.0
9930,2014-01-02 03:20:15.287062,231.56,5.0,231.61,1.0
9931,2014-01-02 03:20:15.787354,231.59,2.0,231.63,3.0
9932,2014-01-02 03:20:16.287522,231.59,1.0,231.62,1.0
9933,2014-01-02 03:20:16.787596,231.57,1.0,231.62,7.0
9934,2014-01-02 03:20:17.287915,231.57,2.0,231.62,9.0
9935,2014-01-02 03:20:17.788362,231.54,4.0,231.6,1.0
9936,2014-01-02 03:20:18.288339,231.54,3.0,231.6,6.0
9937,2014-01-02 03:20:18.788674,231.54,3.0,231.57,5.0
9938,2014-01-02 03:20:19.289180,231.53,3.0,231.57,7.0
9939,2014-01-02 03:20:19.789364,231.53,5.0,231.57,7.0
9940,2014-01-02 03:20:20.289020,231.53,2.0,231.57,8.0
9941,2014-01-02 03:20:21.790214,231.55,1.0,231.59,2.0
